연도,작목군,작목명,지역,면적,생산량
2023,과수,감,울산,303.0,3222.0
2023,과수,감,인천,31.0,111.0
2023,과수,감,전남,5039.0,30894.0
2023,과수,감,전북,1050.0,9170.0
2023,과수,감,제주,28.0,286.0
2023,과수,감,충남,363.0,2404.0
2023,과수,감,충북,517.0,4838.0
2024,과수,감,강원,271.0,1927.0
2024,과수,감,경기,58.0,367.0
2024,과수,감,경남,8682.0,84223.0
2024,과수,감,경북,5159.0,61689.0
2024,과수,감,전국,21962.0,205723.0
2024,과수,감,광주,211.0,1578.0
2024,과수,감,대구,178.0,809.0
2024,과수,감,대전,43.0,175.0
2024,과수,감,부산,36.0,187.0
2024,과수,감,서울,2.0,2.0
2024,과수,감,세종,13.0,35.0
2024,과수,감,울산,297.0,3141.0
2024,과수,감,인천,26.0,71.0
2024,과수,감,전남,4989.0,36621.0
2024,과수,감,전북,1040.0,8382.0
2024,과수,감,제주,24.0,237.0
2024,과수,감,충남,412.0,2580.0
2024,과수,감,충북,521.0,3697.0
2020,과수,감귤,강원,0.0,0.0
2020,과수,감귤,경기,9.0,85.0
2020,과수,감귤,경남,6.0,1.0
2020,과수,감귤,경북,20.0,36.0
2020,과수,감귤,전국,21111.0,658859.0
2020,과수,감귤,광주,0.0,0.0
2020,과수,감귤,대구,0.0,0.0
2020,과수,감귤,대전,0.0,0.0
2020,과수,감귤,부산,0.0,0.0
2020,과수,감귤,서울,0.0,0.0
2020,과수,감귤,세종,0.0,0.0
2020,과수,감귤,울산,0.0,0.0
2020,과수,감귤,인천,0.0,0.0
2020,과수,감귤,전남,62.0,600.0
2020,과수,감귤,전북,0.0,0.0
2020,과수,감귤,제주,20991.0,658038.0
2020,과수,감귤,충남,21.0,98.0
2020,과수,감귤,충북,2.0,0.0
2021,과수,감귤,강원,0.0,0.0
2021,과수,감귤,경기,0.0,0.0
2021,과수,감귤,경남,14.0,48.0
2021,과수,감귤,경북,13.0,51.0
2021,과수,감귤,전국,22029.0,635835.0
2021,과수,감귤,광주,0.0,0.0
2021,과수,감귤,대구,0.0,0.0
2021,과수,감귤,대전,0.0,0.0
2021,과수,감귤,부산,0.0,0.0
2021,과수,감귤,서울,0.0,0.0
2021,과수,감귤,세종,0.0,0.0
2021,과수,감귤,울산,0.0,0.0
2021,과수,감귤,인천,0.0,0.0
2021,과수,감귤,전남,110.0,1175.0
2021,과수,감귤,전북,8.0,39.0
2021,과수,감귤,제주,21877.0,634487.0
2021,과수,감귤,충남,5.0,35.0
2021,과수,감귤,충북,1.0,0.0
2022,과수,감귤,강원,0.0,0.0
2022,과수,감귤,경기,0.0,0.0
2022,과수,감귤,경남,14.0,142.0
2022,과수,감귤,경북,13.0,37.0
2022,과수,감귤,전국,22125.0,610454.0
2022,과수,감귤,광주,0.0,0.0
2022,과수,감귤,대구,0.0,0.0
2022,과수,감귤,대전,0.0,0.0
2022,과수,감귤,부산,0.0,0.0
2022,과수,감귤,서울,0.0,0.0
2022,과수,감귤,세종,0.0,0.0
2022,과수,감귤,울산,0.0,0.0
2022,과수,감귤,인천,0.0,0.0
2022,과수,감귤,전남,74.0,845.0
2022,과수,감귤,전북,8.0,38.0
2022,과수,감귤,제주,21993.0,609260.0
2022,과수,감귤,충남,23.0,132.0
2022,과수,감귤,충북,1.0,0.0
2023,과수,감귤,강원,0.0,0.0
2023,과수,감귤,경기,0.0,0.0
2023,과수,감귤,경남,13.0,134.0
2023,과수,감귤,경북,12.0,37.0
2023,과수,감귤,전국,22108.0,607766.0
2023,과수,감귤,광주,0.0,0.0
2023,과수,감귤,대구,0.0,0.0
2023,과수,감귤,대전,0.0,0.0
2023,과수,감귤,부산,0.0,0.0
2023,과수,감귤,서울,0.0,0.0
2023,과수,감귤,세종,0.0,0.0
2023,과수,감귤,울산,0.0,0.0
2023,과수,감귤,인천,0.0,0.0
2023,과수,감귤,전남,109.0,1258.0
2023,과수,감귤,전북,23.0,84.0
2023,과수,감귤,제주,21937.0,606178.0
2023,과수,감귤,충남,12.0,75.0
2023,과수,감귤,충북,0.0,0.0
2024,과수,감귤,경남,11.0,109.0
2024,과수,감귤,경북,14.0,32.0
2024,과수,감귤,전국,21951.0,556921.0
2024,과수,감귤,부산,0.0,0.0
2024,과수,감귤,전남,120.0,1228.0
2024,과수,감귤,전북,17.0,77.0
2024,과수,감귤,제주,21776.0,555393.0
2024,과수,감귤,충남,12.0,82.0
2020,식량,감자,강원,5253.0,165702.0
2020,식량,감자,경기,1691.0,41430.0
2020,식량,감자,경남,2761.0,50779.0
